Competência;Uf;Ibge;Municipio;Unidade de Saúde - CNES;Tipo Unidade;Desc Unidade;De 1 a 3 atendimentos;De 4 a 5 atendimentos;6 ou mais atendimentos
201806;DF;530010;BRASÍLIA;7694733;02;CENTRO DE SAUDE/UNIDADE BASICA;7;0;0
201804;DF;530010;BRASÍLIA;6921736;02;CENTRO DE SAUDE/UNIDADE BASICA;45;5;2
201801;DF;530010;BRASÍLIA;7694733;02;CENTRO DE SAUDE/UNIDADE BASICA;37;0;0
201909;DF;530010;BRASÍLIA;0011029;02;CENTRO DE SAUDE/UNIDADE BASICA;26;4;4
202008;DF;530010;BRASÍLIA;0011185;02;CENTRO DE SAUDE/UNIDADE BASICA;11;0;0
202001;DF;530010;BRASÍLIA;7368895;02;CENTRO DE SAUDE/UNIDADE BASICA;18;3;0
201911;DF;530010;BRASÍLIA;0010995;02;CENTRO DE SAUDE/UNIDADE BASICA;39;8;1
201910;DF;530010;BRASÍLIA;7114397;02;CENTRO DE SAUDE/UNIDADE BASICA;13;4;4
202112;DF;530010;BRASÍLIA;6216021;02;CENTRO DE SAUDE/UNIDADE BASICA;22;8;6
202112;DF;530010;BRASÍLIA;0011126;02;CENTRO DE SAUDE/UNIDADE BASICA;21;0;0
202112;DF;530010;BRASÍLIA;0011274;02;CENTRO DE SAUDE/UNIDADE BASICA;20;0;0
202112;DF;530010;BRASÍLIA;0010936;02;CENTRO DE SAUDE/UNIDADE BASICA;15;6;0
202112;DF;530010;BRASÍLIA;3254909;02;CENTRO DE SAUDE/UNIDADE BASICA;7;0;0
202112;DF;530010;BRASÍLIA;7170939;02;CENTRO DE SAUDE/UNIDADE BASICA;15;5;4
202112;DF;530010;BRASÍLIA;9572511;02;CENTRO DE SAUDE/UNIDADE BASICA;12;5;4
202112;DF;530010;BRASÍLIA;5038669;02;CENTRO DE SAUDE/UNIDADE BASICA;12;3;1
202112;DF;530010;BRASÍLIA;3027635;02;CENTRO DE SAUDE/UNIDADE BASICA;2;0;0
202112;DF;530010;BRASÍLIA;2360233;02;CENTRO DE SAUDE/UNIDADE BASICA;10;2;0
202112;DF;530010;BRASÍLIA;9643338;02;CENTRO DE SAUDE/UNIDADE BASICA;2;0;0
202112;DF;530010;BRASÍLIA;0010987;02;CENTRO DE SAUDE/UNIDADE BASICA;19;8;5
202112;DF;530010;BRASÍLIA;0011258;02;CENTRO DE SAUDE/UNIDADE BASICA;13;4;2
202112;DF;530010;BRASÍLIA;7417632;02;CENTRO DE SAUDE/UNIDADE BASICA;7;4;2
202209;DF;530010;BRASÍLIA;9056963;02;CENTRO DE SAUDE/UNIDADE BASICA;35;2;1
202209;DF;530010;BRASÍLIA;9548203;02;CENTRO DE SAUDE/UNIDADE BASICA;7;0;1
202203;DF;530010;BRASÍLIA;0010839;02;CENTRO DE SAUDE/UNIDADE BASICA;14;3;0
202204;DF;530010;BRASÍLIA;7299877;02;CENTRO DE SAUDE/UNIDADE BASICA;20;4;2
202203;DF;530010;BRASÍLIA;3286959;02;CENTRO DE SAUDE/UNIDADE BASICA;13;0;1
202007;DF;530010;BRASÍLIA;6770657;02;CENTRO DE SAUDE/UNIDADE BASICA;7;0;0
201812;DF;530010;BRASÍLIA;0011681;02;CENTRO DE SAUDE/UNIDADE BASICA;4;0;0
202004;DF;530010;BRASÍLIA;0010847;02;CENTRO DE SAUDE/UNIDADE BASICA;15;0;0
201811;DF;530010;BRASÍLIA;2617293;02;CENTRO DE SAUDE/UNIDADE BASICA;34;10;4
202010;DF;530010;BRASÍLIA;9509356;02;CENTRO DE SAUDE/UNIDADE BASICA;10;2;1
202006;DF;530010;BRASÍLIA;3212068;02;CENTRO DE SAUDE/UNIDADE BASICA;12;0;0
201907;DF;530010;BRASÍLIA;0011118;02;CENTRO DE SAUDE/UNIDADE BASICA;11;2;0
201909;DF;530010;BRASÍLIA;3513564;02;CENTRO DE SAUDE/UNIDADE BASICA;22;0;0
201910;DF;530010;BRASÍLIA;7368895;02;CENTRO DE SAUDE/UNIDADE BASICA;14;1;0
202004;DF;530010;BRASÍLIA;2804247;02;CENTRO DE SAUDE/UNIDADE BASICA;19;0;0
201905;DF;530010;BRASÍLIA;6662358;02;CENTRO DE SAUDE/UNIDADE BASICA;22;0;0
201903;DF;530010;BRASÍLIA;9480587;02;CENTRO DE SAUDE/UNIDADE BASICA;31;0;3
201912;DF;530010;BRASÍLIA;0011010;02;CENTRO DE SAUDE/UNIDADE BASICA;10;0;0
201905;DF;530010;BRASÍLIA;0010952;02;CENTRO DE SAUDE/UNIDADE BASICA;53;1;0
201908;DF;530010;BRASÍLIA;0010790;02;CENTRO DE SAUDE/UNIDADE BASICA;72;2;0
201905;DF;530010;BRASÍLIA;0011134;02;CENTRO DE SAUDE/UNIDADE BASICA;50;0;0
202002;DF;530010;BRASÍLIA;0011061;02;CENTRO DE SAUDE/UNIDADE BASICA;16;1;1
201912;DF;530010;BRASÍLIA;9480587;02;CENTRO DE SAUDE/UNIDADE BASICA;16;4;3
201904;DF;530010;BRASÍLIA;0010642;02;CENTRO DE SAUDE/UNIDADE BASICA;8;2;2
201904;DF;530010;BRASÍLIA;7114397;02;CENTRO DE SAUDE/UNIDADE BASICA;17;4;2
202011;DF;530010;BRASÍLIA;2617293;02;CENTRO DE SAUDE/UNIDADE BASICA;47;10;7
202101;DF;530010;BRASÍLIA;2804360;02;CENTRO DE SAUDE/UNIDADE BASICA;20;0;0
202102;DF;530010;BRASÍLIA;0010642;02;CENTRO DE SAUDE/UNIDADE BASICA;25;0;0
202012;DF;530010;BRASÍLIA;0011037;02;CENTRO DE SAUDE/UNIDADE BASICA;8;4;1
202012;DF;530010;BRASÍLIA;9768637;02;CENTRO DE SAUDE/UNIDADE BASICA;14;2;2
202011;DF;530010;BRASÍLIA;2779374;02;CENTRO DE SAUDE/UNIDADE BASICA;55;1;3
202012;DF;530010;BRASÍLIA;0011223;02;CENTRO DE SAUDE/UNIDADE BASICA;16;2;0
202102;DF;530010;BRASÍLIA;6216013;02;CENTRO DE SAUDE/UNIDADE BASICA;31;4;1
202102;DF;530010;BRASÍLIA;0011223;02;CENTRO DE SAUDE/UNIDADE BASICA;22;1;0
202102;DF;530010;BRASÍLIA;2360233;02;CENTRO DE SAUDE/UNIDADE BASICA;12;2;1
202102;DF;530010;BRASÍLIA;0011231;02;CENTRO DE SAUDE/UNIDADE BASICA;11;7;1
202112;DF;530010;BRASÍLIA;3144593;02;CENTRO DE SAUDE/UNIDADE BASICA;7;4;2
202112;DF;530010;BRASÍLIA;0010677;02;CENTRO DE SAUDE/UNIDADE BASICA;4;1;1
202204;DF;530010;BRASÍLIA;6662358;02;CENTRO DE SAUDE/UNIDADE BASICA;25;0;1
202203;DF;530010;BRASÍLIA;7299877;02;CENTRO DE SAUDE/UNIDADE BASICA;15;8;2
202207;DF;530010;BRASÍLIA;3286975;02;CENTRO DE SAUDE/UNIDADE BASICA;11;0;1
202207;DF;530010;BRASÍLIA;9480587;02;CENTRO DE SAUDE/UNIDADE BASICA;7;3;4
202207;DF;530010;BRASÍLIA;2617358;02;CENTRO DE SAUDE/UNIDADE BASICA;21;0;0
202207;DF;530010;BRASÍLIA;0010782;02;CENTRO DE SAUDE/UNIDADE BASICA;45;10;6
202207;DF;530010;BRASÍLIA;0010960;02;CENTRO DE SAUDE/UNIDADE BASICA;24;1;1
202207;DF;530010;BRASÍLIA;0010928;02;CENTRO DE SAUDE/UNIDADE BASICA;18;3;4
202206;DF;530010;BRASÍLIA;0011207;02;CENTRO DE SAUDE/UNIDADE BASICA;27;3;0
202208;DF;530010;BRASÍLIA;6216013;02;CENTRO DE SAUDE/UNIDADE BASICA;24;14;4
202207;DF;530010;BRASÍLIA;7559194;02;CENTRO DE SAUDE/UNIDADE BASICA;5;0;1
202208;DF;530010;BRASÍLIA;3144593;02;CENTRO DE SAUDE/UNIDADE BASICA;7;1;4
202207;DF;530010;BRASÍLIA;0011118;02;CENTRO DE SAUDE/UNIDADE BASICA;13;0;1
202206;DF;530010;BRASÍLIA;7108923;02;CENTRO DE SAUDE/UNIDADE BASICA;17;1;2
202206;DF;530010;BRASÍLIA;0011215;02;CENTRO DE SAUDE/UNIDADE BASICA;17;0;3
202205;DF;530010;BRASÍLIA;5050359;02;CENTRO DE SAUDE/UNIDADE BASICA;10;2;0
202208;DF;530010;BRASÍLIA;7236778;02;CENTRO DE SAUDE/UNIDADE BASICA;12;0;0
201903;DF;530010;BRASÍLIA;0010669;02;CENTRO DE SAUDE/UNIDADE BASICA;31;4;0
201904;DF;530010;BRASÍLIA;3286975;02;CENTRO DE SAUDE/UNIDADE BASICA;16;1;0
201911;DF;530010;BRASÍLIA;9566988;02;CENTRO DE SAUDE/UNIDADE BASICA;3;0;0
202005;DF;530010;BRASÍLIA;3781437;02;CENTRO DE SAUDE/UNIDADE BASICA;3;1;4
202009;DF;530010;BRASÍLIA;0011274;02;CENTRO DE SAUDE/UNIDADE BASICA;18;2;1
202103;DF;530010;BRASÍLIA;2804107;02;CENTRO DE SAUDE/UNIDADE BASICA;2;2;0
202103;DF;530010;BRASÍLIA;3742873;02;CENTRO DE SAUDE/UNIDADE BASICA;12;0;0
202210;DF;530010;BRASÍLIA;2617269;02;CENTRO DE SAUDE/UNIDADE BASICA;8;1;0
202210;DF;530010;BRASÍLIA;0010634;02;CENTRO DE SAUDE/UNIDADE BASICA;26;9;6
202008;DF;530010;BRASÍLIA;0010820;02;CENTRO DE SAUDE/UNIDADE BASICA;5;0;2
201904;DF;530010;BRASÍLIA;0011215;02;CENTRO DE SAUDE/UNIDADE BASICA;18;0;0
202102;DF;530010;BRASÍLIA;3781402;02;CENTRO DE SAUDE/UNIDADE BASICA;6;0;0
202012;DF;530010;BRASÍLIA;9056963;02;CENTRO DE SAUDE/UNIDADE BASICA;8;0;0
202008;DF;530010;BRASÍLIA;0010677;02;CENTRO DE SAUDE/UNIDADE BASICA;19;2;3
202101;DF;530010;BRASÍLIA;9475931;02;CENTRO DE SAUDE/UNIDADE BASICA;28;0;0
202009;DF;530010;BRASÍLIA;2804247;02;CENTRO DE SAUDE/UNIDADE BASICA;17;0;0
202012;DF;530010;BRASÍLIA;0010707;02;CENTRO DE SAUDE/UNIDADE BASICA;7;0;0
202101;DF;530010;BRASÍLIA;2660199;02;CENTRO DE SAUDE/UNIDADE BASICA;5;2;3
202101;DF;530010;BRASÍLIA;0010952;02;CENTRO DE SAUDE/UNIDADE BASICA;41;5;0
202102;DF;530010;BRASÍLIA;9572511;02;CENTRO DE SAUDE/UNIDADE BASICA;14;0;1
202207;DF;530010;BRASÍLIA;2617293;02;CENTRO DE SAUDE/UNIDADE BASICA;19;7;9
202211;DF;530010;BRASÍLIA;0011096;02;CENTRO DE SAUDE/UNIDADE BASICA;3;6;2
202211;DF;530010;BRASÍLIA;0010987;02;CENTRO DE SAUDE/UNIDADE BASICA;18;3;11
202211;DF;530010;BRASÍLIA;3144593;02;CENTRO DE SAUDE/UNIDADE BASICA;6;0;1
202009;DF;530010;BRASÍLIA;0010960;02;CENTRO DE SAUDE/UNIDADE BASICA;22;0;0
202001;DF;530010;BRASÍLIA;7236778;02;CENTRO DE SAUDE/UNIDADE BASICA;5;0;0
202004;DF;530010;BRASÍLIA;0011053;02;CENTRO DE SAUDE/UNIDADE BASICA;27;10;0
202003;DF;530010;BRASÍLIA;3742865;02;CENTRO DE SAUDE/UNIDADE BASICA;3;0;0
202002;DF;530010;BRASÍLIA;7108923;02;CENTRO DE SAUDE/UNIDADE BASICA;12;2;0
202001;DF;530010;BRASÍLIA;0011223;02;CENTRO DE SAUDE/UNIDADE BASICA;23;1;1
202007;DF;530010;BRASÍLIA;0011355;02;CENTRO DE SAUDE/UNIDADE BASICA;10;1;0
202003;DF;530010;BRASÍLIA;0011606;02;CENTRO DE SAUDE/UNIDADE BASICA;0;1;1
202007;DF;530010;BRASÍLIA;0011134;02;CENTRO DE SAUDE/UNIDADE BASICA;27;1;0
202004;DF;530010;BRASÍLIA;9566961;02;CENTRO DE SAUDE/UNIDADE BASICA;8;1;0
202004;DF;530010;BRASÍLIA;3144623;02;CENTRO DE SAUDE/UNIDADE BASICA;8;1;0
202005;DF;530010;BRASÍLIA;9480587;02;CENTRO DE SAUDE/UNIDADE BASICA;33;10;5
202003;DF;530010;BRASÍLIA;6216021;02;CENTRO DE SAUDE/UNIDADE BASICA;20;10;2
201803;DF;530010;BRASÍLIA;2660199;02;CENTRO DE SAUDE/UNIDADE BASICA;24;4;6
201912;DF;530010;BRASÍLIA;6268269;02;CENTRO DE SAUDE/UNIDADE BASICA;44;7;4
202212;DF;530010;BRASÍLIA;0011177;02;CENTRO DE SAUDE/UNIDADE BASICA;8;4;1
202212;DF;530010;BRASÍLIA;9056963;02;CENTRO DE SAUDE/UNIDADE BASICA;13;1;0
202208;DF;530010;BRASÍLIA;0010804;02;CENTRO DE SAUDE/UNIDADE BASICA;6;3;5
202212;DF;530010;BRASÍLIA;7771479;02;CENTRO DE SAUDE/UNIDADE BASICA;5;2;8
202206;DF;530010;BRASÍLIA;9475931;02;CENTRO DE SAUDE/UNIDADE BASICA;16;0;0
202208;DF;530010;BRASÍLIA;0010685;02;CENTRO DE SAUDE/UNIDADE BASICA;30;2;1
201903;DF;530010;BRASÍLIA;3781437;02;CENTRO DE SAUDE/UNIDADE BASICA;6;2;5
201811;DF;530010;BRASÍLIA;7368895;02;CENTRO DE SAUDE/UNIDADE BASICA;18;0;1
202105;DF;530010;BRASÍLIA;7299877;02;CENTRO DE SAUDE/UNIDADE BASICA;24;3;2
202005;DF;530010;BRASÍLIA;9475931;02;CENTRO DE SAUDE/UNIDADE BASICA;17;2;2
201911;DF;530010;BRASÍLIA;0011223;02;CENTRO DE SAUDE/UNIDADE BASICA;10;2;0
202101;DF;530010;BRASÍLIA;3742857;02;CENTRO DE SAUDE/UNIDADE BASICA;8;0;0
202102;DF;530010;BRASÍLIA;9647597;02;CENTRO DE SAUDE/UNIDADE BASICA;16;2;0
202010;DF;530010;BRASÍLIA;2660199;02;CENTRO DE SAUDE/UNIDADE BASICA;7;5;1
202012;DF;530010;BRASÍLIA;0011134;02;CENTRO DE SAUDE/UNIDADE BASICA;37;1;0
202012;DF;530010;BRASÍLIA;0011053;02;CENTRO DE SAUDE/UNIDADE BASICA;13;4;4
202009;DF;530010;BRASÍLIA;0010669;02;CENTRO DE SAUDE/UNIDADE BASICA;28;10;2
202101;DF;530010;BRASÍLIA;0011045;02;CENTRO DE SAUDE/UNIDADE BASICA;13;1;0
202010;DF;530010;BRASÍLIA;0010677;02;CENTRO DE SAUDE/UNIDADE BASICA;20;0;2
202003;DF;530010;BRASÍLIA;0010804;02;CENTRO DE SAUDE/UNIDADE BASICA;12;0;0
202102;DF;530010;BRASÍLIA;0010782;02;CENTRO DE SAUDE/UNIDADE BASICA;48;8;2
202102;DF;530010;BRASÍLIA;3781437;02;CENTRO DE SAUDE/UNIDADE BASICA;13;3;2
202102;DF;530010;BRASÍLIA;0010634;02;CENTRO DE SAUDE/UNIDADE BASICA;25;7;4
202010;DF;530010;BRASÍLIA;0010774;02;CENTRO DE SAUDE/UNIDADE BASICA;23;1;0
202110;DF;530010;BRASÍLIA;2779374;02;CENTRO DE SAUDE/UNIDADE BASICA;43;1;2
202111;DF;530010;BRASÍLIA;0010839;02;CENTRO DE SAUDE/UNIDADE BASICA;9;1;2
202110;DF;530010;BRASÍLIA;0010669;02;CENTRO DE SAUDE/UNIDADE BASICA;28;5;1
202110;DF;530010;BRASÍLIA;7347715;02;CENTRO DE SAUDE/UNIDADE BASICA;19;2;2
202111;DF;530010;BRASÍLIA;5038669;02;CENTRO DE SAUDE/UNIDADE BASICA;17;0;1
202111;DF;530010;BRASÍLIA;7368895;02;CENTRO DE SAUDE/UNIDADE BASICA;14;5;2
202111;DF;530010;BRASÍLIA;0011266;02;CENTRO DE SAUDE/UNIDADE BASICA;9;0;1
202111;DF;530010;BRASÍLIA;9647597;02;CENTRO DE SAUDE/UNIDADE BASICA;5;4;0
202111;DF;530010;BRASÍLIA;6268269;02;CENTRO DE SAUDE/UNIDADE BASICA;31;5;4
202110;DF;530010;BRASÍLIA;0010839;02;CENTRO DE SAUDE/UNIDADE BASICA;14;0;1
202110;DF;530010;BRASÍLIA;9475931;02;CENTRO DE SAUDE/UNIDADE BASICA;11;2;2
202111;DF;530010;BRASÍLIA;9566988;02;CENTRO DE SAUDE/UNIDADE BASICA;0;1;4
202110;DF;530010;BRASÍLIA;9768637;02;CENTRO DE SAUDE/UNIDADE BASICA;11;2;6
202211;DF;530010;BRASÍLIA;0011037;02;CENTRO DE SAUDE/UNIDADE BASICA;17;0;3
202104;DF;530010;BRASÍLIA;0011231;02;CENTRO DE SAUDE/UNIDADE BASICA;15;1;8
202104;DF;530010;BRASÍLIA;0010863;02;CENTRO DE SAUDE/UNIDADE BASICA;10;0;0
202208;DF;530010;BRASÍLIA;0011002;02;CENTRO DE SAUDE/UNIDADE BASICA;7;0;0
202207;DF;530010;BRASÍLIA;0011061;02;CENTRO DE SAUDE/UNIDADE BASICA;22;0;1
202207;DF;530010;BRASÍLIA;7417632;02;CENTRO DE SAUDE/UNIDADE BASICA;23;2;0
202207;DF;530010;BRASÍLIA;0010901;02;CENTRO DE SAUDE/UNIDADE BASICA;12;5;3
202207;DF;530010;BRASÍLIA;0011037;02;CENTRO DE SAUDE/UNIDADE BASICA;22;1;0
202207;DF;530010;BRASÍLIA;9566961;02;CENTRO DE SAUDE/UNIDADE BASICA;11;0;0
202206;DF;530010;BRASÍLIA;0010642;02;CENTRO DE SAUDE/UNIDADE BASICA;15;3;1
202208;DF;530010;BRASÍLIA;0011258;02;CENTRO DE SAUDE/UNIDADE BASICA;7;4;3
201809;DF;530010;BRASÍLIA;0010634;02;CENTRO DE SAUDE/UNIDADE BASICA;55;4;3
202203;DF;530010;BRASÍLIA;5050359;02;CENTRO DE SAUDE/UNIDADE BASICA;10;1;1
202203;DF;530010;BRASÍLIA;0010626;02;CENTRO DE SAUDE/UNIDADE BASICA;26;2;2
202204;DF;530010;BRASÍLIA;7170939;02;CENTRO DE SAUDE/UNIDADE BASICA;12;3;1
202202;DF;530010;BRASÍLIA;0010863;02;CENTRO DE SAUDE/UNIDADE BASICA;22;1;0
202202;DF;530010;BRASÍLIA;0010790;02;CENTRO DE SAUDE/UNIDADE BASICA;48;3;1
202204;DF;530010;BRASÍLIA;3781437;02;CENTRO DE SAUDE/UNIDADE BASICA;10;1;5
201912;DF;530010;BRASÍLIA;0010626;02;CENTRO DE SAUDE/UNIDADE BASICA;30;3;1
202001;DF;530010;BRASÍLIA;0010723;02;CENTRO DE SAUDE/UNIDADE BASICA;13;2;1
201912;DF;530010;BRASÍLIA;7347723;02;CENTRO DE SAUDE/UNIDADE BASICA;6;0;0
202004;DF;530010;BRASÍLIA;0011134;02;CENTRO DE SAUDE/UNIDADE BASICA;33;1;0
201911;DF;530010;BRASÍLIA;9475931;02;CENTRO DE SAUDE/UNIDADE BASICA;35;1;0
201909;DF;530010;BRASÍLIA;0010901;02;CENTRO DE SAUDE/UNIDADE BASICA;21;6;1
201910;DF;530010;BRASÍLIA;0011231;02;CENTRO DE SAUDE/UNIDADE BASICA;16;0;0
201907;DF;530010;BRASÍLIA;0010782;02;CENTRO DE SAUDE/UNIDADE BASICA;53;4;0
202005;DF;530010;BRASÍLIA;0010960;02;CENTRO DE SAUDE/UNIDADE BASICA;21;0;0
201911;DF;530010;BRASÍLIA;6921736;02;CENTRO DE SAUDE/UNIDADE BASICA;13;1;0
201911;DF;530010;BRASÍLIA;6216021;02;CENTRO DE SAUDE/UNIDADE BASICA;17;10;3
202009;DF;530010;BRASÍLIA;2617293;02;CENTRO DE SAUDE/UNIDADE BASICA;69;11;9
202002;DF;530010;BRASÍLIA;6662358;02;CENTRO DE SAUDE/UNIDADE BASICA;6;0;0
201911;DF;530010;BRASÍLIA;0011045;02;CENTRO DE SAUDE/UNIDADE BASICA;22;0;0
201907;DF;530010;BRASÍLIA;3286959;02;CENTRO DE SAUDE/UNIDADE BASICA;7;2;2
202009;DF;530010;BRASÍLIA;0010995;02;CENTRO DE SAUDE/UNIDADE BASICA;30;8;3
202101;DF;530010;BRASÍLIA;0011029;02;CENTRO DE SAUDE/UNIDADE BASICA;18;2;4
202011;DF;530010;BRASÍLIA;3212033;02;CENTRO DE SAUDE/UNIDADE BASICA;5;0;0
202011;DF;530010;BRASÍLIA;2360233;02;CENTRO DE SAUDE/UNIDADE BASICA;13;1;0
201906;DF;530010;BRASÍLIA;7347723;02;CENTRO DE SAUDE/UNIDADE BASICA;5;0;0
202005;DF;530010;BRASÍLIA;6770665;02;CENTRO DE SAUDE/UNIDADE BASICA;1;3;1
201912;DF;530010;BRASÍLIA;0010707;02;CENTRO DE SAUDE/UNIDADE BASICA;12;1;0
202001;DF;530010;BRASÍLIA;3286959;02;CENTRO DE SAUDE/UNIDADE BASICA;7;1;0
202005;DF;530010;BRASÍLIA;0011118;02;CENTRO DE SAUDE/UNIDADE BASICA;17;0;1
201908;DF;530010;BRASÍLIA;0011231;02;CENTRO DE SAUDE/UNIDADE BASICA;20;4;0
201810;DF;530010;BRASÍLIA;0010707;02;CENTRO DE SAUDE/UNIDADE BASICA;8;0;0
201808;DF;530010;BRASÍLIA;0010995;02;CENTRO DE SAUDE/UNIDADE BASICA;97;15;2
201905;DF;530010;BRASÍLIA;0011258;02;CENTRO DE SAUDE/UNIDADE BASICA;11;2;0
201906;DF;530010;BRASÍLIA;3144593;02;CENTRO DE SAUDE/UNIDADE BASICA;7;2;1
201909;DF;530010;BRASÍLIA;2660199;02;CENTRO DE SAUDE/UNIDADE BASICA;15;0;0
201911;DF;530010;BRASÍLIA;3286975;02;CENTRO DE SAUDE/UNIDADE BASICA;7;0;0
202011;DF;530010;BRASÍLIA;0011258;02;CENTRO DE SAUDE/UNIDADE BASICA;21;6;2
202009;DF;530010;BRASÍLIA;5038669;02;CENTRO DE SAUDE/UNIDADE BASICA;28;3;1
202012;DF;530010;BRASÍLIA;3144658;02;CENTRO DE SAUDE/UNIDADE BASICA;1;0;4
202012;DF;530010;BRASÍLIA;0010650;02;CENTRO DE SAUDE/UNIDADE BASICA;4;2;1
202101;DF;530010;BRASÍLIA;6216013;02;CENTRO DE SAUDE/UNIDADE BASICA;26;5;1
202012;DF;530010;BRASÍLIA;7559194;02;CENTRO DE SAUDE/UNIDADE BASICA;11;0;0
202211;DF;530010;BRASÍLIA;0011266;02;CENTRO DE SAUDE/UNIDADE BASICA;5;0;0
202210;DF;530010;BRASÍLIA;0011118;02;CENTRO DE SAUDE/UNIDADE BASICA;12;0;2
202210;DF;530010;BRASÍLIA;3286975;02;CENTRO DE SAUDE/UNIDADE BASICA;18;0;0
